ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER_SERVICE,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER_LANGUAGE,WHEELCHAIR_ACCESS,REFERRAL_REQUIRED,CULTURAL_COMPETENCIES_SPECIALIZATIONS,BOROUGH,X,Y,WEBSITE
The Arab-American Family Support Center ,Brooklyn  Family Justice Center,"350 Jay Street, 15th Fl     ","Brooklyn, NY 11201            ",718-250-5111,,1,1,1,1,1,1,1,,1,,1,1,1,,,1,,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,1,,,,,,,,,,,,1,,"Arab, Middle Eastern, Muslim, and South Asian Communities ",Brooklyn,987687,192183,http://www.aafscny.org/
The Arab-American Family Support Center,Staten Island  Family Justice Center,126 Stuyvesant Place,"Staten Island, NY10301",718-697-4330,,1,1,1,1,1,1,1,,1,,1,1,1,,,1,,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,1,,,,,,,,,,,,1,,"Arab, Middle Eastern, Muslim, and South Asian Communities ",Staten Island,962818,173610,http://www.aafscny.org/
The Arab-American Family Support Center,Bronx  Family Justice Center,"198 E 161 Street, 2nd Fl","Bronx, NY 10451",718-508-1220,,1,1,1,1,1,1,1,,1,,1,1,1,,,1,,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,"Arab, Middle Eastern, Muslim, and South Asian Communities ",Bronx,1006186,240244,http://www.aafscny.org/
The Arab-American Family Support Center ,Queens Family Justice Center  ,126-02 82nd Avenue  ,"Kew Garden, NY 11415        ",718-575-4500 ,,1,1,1,1,1,1,1,,1,,1,1,1,,,1,,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,1,,,,,,,,,,,,1,,"Arab, Middle Eastern, Muslim, and South Asian Communities ",Queens,1032459,199212,http://www.aafscny.org/
The Arab-American Family Support Center,Manhattan Family Justice Center,"80 Centre Street, 5th Fl","New York, NY 10013",212-602-2800,,1,1,1,1,1,1,1,,1,,1,1,1,,,1,,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,1,,"Hindi, Wahki ",1,,"Arab, Middle Eastern, Muslim, and South Asian Communities ",Manhattan,983763,199873,http://www.aafscny.org/
The Arab-American Family Support Center ,Downtown Brooklyn ,"150 Court Street, 3rd Floor","Brooklyn, NY 11201 ",718-643-8000,,1,1,1,1,1,,,1,1,,1,1,1,1,"Adult Education and Literacy (ESL), <br>Afterschool Program,Youth Program, <br>Preventive - Keeping children <br>out of foster care  ",1,1,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,1,,,,,,1,,"Farsi, Hindi, Navajo, Nepali, Pashto,<br> Punjabi, Somali, Spanish,<br> various dialects",1,,"Arab, Middle Eastern, Muslim, and South Asian Communities ",Brooklyn,986183,190265,http://www.aafscny.org/
The Arab-American Family Support Center ,"Long Island City, Queens ","37-10 30th Street, 2nd Fl        ",Queens NY 11101                  ,718-937-8000,,1,1,1,1,1,,,1,1,,1,1,,,Preventive - Keeping children out of foster care  ,1,1,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,,1,,,,,,1,,"Hindi, Tibetan, Nepali, Albanian, Punjabi, Kurdish, Turkish ",1,,"Arab, Middle Eastern, Muslim, and South Asian Communities ",Queens,1002998,214406,http://www.aafscny.org/
Association to Benefit Children,All Children's House: East Harlem,1841 Park Avenue,"New York, NY 10035",646-459-6164,,1,,,,1,,,,,,,,,,,,,,,,1,,,,Serves families with children 0-5 years of age who are at risk of losing their children to foster care and who have experienced trauma,Call to inquire about hours of operation,,1,,,,,,,,,,,,,1,,,Manhattan,1001413,232811,http://www.a-b-c.org/
Association to Benefit Children,All Children's House: The Bronx,1366 Inwood Avenue ,"Bronx, NY 10452",929-288-4444,,,,,,,,,,,,,,,,,,,,,,1,,,,Serves families with children 0-5 years of age who are at risk of losing their children to foster care and who have experienced trauma,Call to inquire about hours of operation,,1,,,,,,,,,,,,,1,,,Bronx,1006723,245279,http://www.a-b-c.org/
Association to Benefit Children,Cassidy's Place,419 E 86th Street,"New York, NY 10028",212-845-3821,,,,,,,,,,,,,,,,,,,,,,1,,,,"Serves preschoolers who live in poverty, have serious developmental and medical disabilities, who are homeless, in foster care, have suffered abuse, violence, and neglect",Monday - Friday: 8 am - 3 pm,,1,,,,,,,,,,,,,1,,,Manhattan,998542,222279,http://www.a-b-c.org/
Association to Benefit Children,Cody House,404 E 91st Street,"New York, NY 10128",212-369-2010,,,,,,,,,,,,,,,,,,,,,,1,,,,Serves victims 0-3 years of age with developmental delays and serious medical conditions,Monday - Friday: 8 am - 3 pm,,,,,,,,,,,,,,,,,,Manhattan,999005,223366,http://www.a-b-c.org/
Association to Benefit Children,Fast Break Echo Park,1841 Park Avenue,"New York, NY 10035",646-459-6165,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,Serves victims 0-17 years of age and their families,Call to inquire about hours of operation,,1,,,,,,,,,,,,,1,,,Manhattan,1001413,232811,http://www.a-b-c.org/
Association to Benefit Children,Fast Break Early Childhood Mental Health Clinic: The Bronx,1366 Inwood Avenue ,"Bronx, NY 10452",929-288-4320,,1,,,,,,,,1,,,,,,,,,,,,1,,,,Serves victims 0-5 years of age and their families,Call to inquire about hours of operation,,1,,,,,,,,,,,,,1,,,Bronx,1006723,245279,http://www.a-b-c.org/
Association to Benefit Children,Fast Break Children's Mental Health Clinic: 115th Street,158 E 115th Street,"New York, NY 10029",646-459-6174,,,,,,,,,,1,,,,,,,,,,,,1,1,,,Serves victims 0-17 years of age and their families,Call to inquire about hours of operation,,1,,,,,,,,,,,,,1,,,Manhattan,1000336,229871,http://www.a-b-c.org/
Association to Benefit Children,Graham School,1841 Park Avenue,"New York, NY 10035",646-459-6029,,,,,,,,,,,,,,,,,,,,,,1,,,,"Serves preschoolers who live in poverty, have serious developmental and medical disabilities, who are homeless, in foster care, have suffered abuse, violence, and neglect",Monday - Friday: 8 am - 3 pm,,,,,,,,,,,,,,,1,,,Manhattan,1001413,232811,http://www.a-b-c.org/
Association to Benefit Children,Keith Haring School,318 E 116th Street,"New York, NY 10029",212-426-3960 ,1,,,,,,,,,,,,,,,,,,,,,1,,,,Serves victims 0-3 years of age with developmental delays and serious medical conditions,Monday - Friday: 8 am - 3 pm,,,,,,,,,,,,,,,,,,Manhattan,1001705,229413,http://www.a-b-c.org/
Association to Benefit Children,Merricat's Castle School,316 E 88th Street,"New York, NY 10128 ",212-534-3656,,,,,,,,,,,,,,,,,,,,,,1,,,,Serves preschool-aged children,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,Manhattan,998173,222898,http://www.a-b-c.org/
Association to Benefit Children,Open Door/Saturday Program,1841 Park Avenue ,"New York, NY 10035",646-459-6149,,,,,,,,,,,,,,,,,,,,,,1,1,,,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,,,,1,,,Manhattan,1001413,232811,http://www.a-b-c.org/
